IdPersona,TotalVisitas,DiasActivo,TiempoActivoDias,VisitasUlt30,VisitasUlt90,VisitasUlt180,PropUlt90,DiasDesdeUltima,tasa_caida_visitas,DuracionMediaTotal,DuracionMediaUlt90,DeltaDuracionUlt90VsTotal,StdDiasEntreVisitas,FrecuenciaModal,MaxRachaSinVisita,MaxRachaConVisita,SemanasConVisitaRatio,HoraMediaAcceso,PropVisitasFinDeSemana,PropVisitasFestivo,VisitasPrimerTrimestre,VisitasUltimoTrimestre,DiaFav_domingo,DiaFav_jueves,DiaFav_lunes,DiaFav_martes,DiaFav_miércoles,DiaFav_sábado,DiaFav_viernes,EstFav_invierno,EstFav_otono,EstFav_primavera,EstFav_verano,TieneAccesos
7689,19,19,117,4,14,19,0.7368421052631579,45,0.875,36.11140350877193,35.108333333333334,-0.027777103019408694,6.3879226322456,2.0,23.0,1,0.7647058823529411,14.754385964912283,0.05263157894736842,0.0,16,14,False,False,False,False,True,False,False,False,False,False,True,True
7812,52,46,364,3,24,41,0.46153846153846156,46,6.0,43.46794871794872,45.625,0.04962394927001906,14.988910420764135,1.0,93.0,6,0.39622641509433965,17.567948717948717,0.25,0.0,4,24,False,False,False,True,False,False,False,False,False,False,True,True
8138,46,46,355,4,14,24,0.30434782608695654,54,1.2727272727272727,69.79347826086958,65.05714285714286,-0.06786214875297579,7.248669524577817,2.0,40.0,2,0.6470588235294118,9.221014492753623,0.21739130434782608,0.0,11,14,False,True,False,False,False,False,False,False,False,False,True,True
8409,65,65,364,13,14,35,0.2153846153846154,45,2.0,98.79410256410256,105.46666666666668,0.06754010542516574,12.424616442771987,1.0,86.0,5,0.4716981132075472,9.218717948717948,0.12307692307692308,0.046153846153846156,7,14,False,False,True,False,False,False,False,True,False,False,False,True
8734,19,19,229,3,9,14,0.47368421052631576,160,1.5,102.35263157894737,102.42037037037036,0.0006618177801393215,10.267562490979678,6.0,41.0,1,0.48484848484848486,12.183333333333332,0.10526315789473684,0.0,6,9,False,False,True,False,False,False,False,True,False,False,False,True
8746,5,5,181,2,3,4,0.6,163,1.5,51.75999999999999,49.13888888888889,-0.05063970461961164,53.015917421091565,12.0,137.0,1,0.19230769230769232,14.530000000000001,0.0,0.0,2,3,False,False,False,True,False,False,False,False,False,True,False,True
8926,16,16,73,12,16,16,1.0,63,1.0,90.47395833333334,90.47395833333334,0.0,10.13157879547353,1.0,41.0,9,0.45454545454545453,9.161458333333332,0.125,0.0625,16,16,False,False,True,False,False,False,False,False,False,False,True,True
8927,11,11,73,9,11,11,1.0,63,1.0,102.0469696969697,102.0469696969697,0.0,17.274547750954294,1.0,59.0,5,0.36363636363636365,9.246969696969696,0.18181818181818182,0.0,11,11,False,False,True,False,False,False,False,False,False,False,True,True
9036,9,9,125,5,6,9,0.6666666666666666,270,1.5,92.66666666666667,74.14444444444445,-0.19988009592326142,20.536172355139602,1.0,64.0,2,0.2777777777777778,12.277777777777779,0.2222222222222222,0.0,4,6,False,False,False,True,False,False,False,True,False,False,False,True
9060,11,11,272,2,3,3,0.2727272727272727,118,0.375,98.9469696969697,104.16666666666667,0.052752469183064074,48.02457704134415,4.0,166.0,1,0.2564102564102564,11.52727272727273,0.36363636363636365,0.0,8,3,True,False,False,False,False,False,False,False,True,False,False,True
