IdPersona,TotalVisitas,DiasActivo,VisitasPorSemana,VisitasPorMes,MaxVisitasDia,VarVisitasMes,DuracionMediaTotal,DuracionStdTotal,DuracionMediaUlt90,DeltaDuracionUlt90VsTotal,PropVisitasLargas,VisitasUlt30,VisitasUlt90,VisitasUlt180,PropUlt90,DiasDesdeUltima,DiasHastaPrimera,StdDiasEntreVisitas,FrecuenciaModal,SemanasConVisita,SemanasTotales,SemanasConUnaVisita,MaxRachaSinVisita,MaxRachaConVisita,HoraMediaAcceso,HoraStdAcceso,VarDiasSemana,PropFindesemana,PropPrimavera,PropVerano,PropOtono,PropInvierno,VisitasFestivos,PropVisitasFestivos,VisitasFindesemana,PropVisitasFindesemana,VisitasCerrado,PropVisitasCerrado,VisitasRed9a14,PropVisitasRed9a14,VisitasRed7a20,PropVisitasRed7a20,VisitasRed7a15,PropVisitasRed7a15,PrimeraVisita,UltimaVisita,TiempoActivoDias,VisitasPrimerTrimestre,VisitasUltimoTrimestre,DiaFav_domingo,DiaFav_jueves,DiaFav_lunes,DiaFav_martes,DiaFav_miércoles,DiaFav_sábado,DiaFav_viernes,EstFav_invierno,EstFav_otono,EstFav_primavera,EstFav_verano
334,3,3,1.5,2.4324324324324325,1,0.0,50.42222222222222,8.675597250582866,50.42222222222222,0.0,0.3333333333333333,3,3,3,1.0,383,9,1.5,2.0,2,2,1,5.0,1,11.144444444444446,0.452223587221527,0.5306122448979591,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-10,2024-09-17,7,3,3,False,False,False,True,False,False,False,False,True,False,False
2476,4,4,0.4444444444444444,1.3953488372093024,1,0.2222222222222222,81.40833333333333,20.6702567446292,81.40833333333333,0.0,1.0,2,4,4,1.0,45,298,4.642796092394706,14.0,4,9,4,25.0,1,9.4875,0.9672681318480874,1.102040816326531,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-06-26,2025-08-21,56,4,4,False,True,False,False,False,False,False,False,False,False,True
2926,4,4,0.417910447761194,1.3333333333333333,1,0.2222222222222222,40.06666666666666,56.31997376104187,40.06666666666666,0.0,0.25,1,4,4,1.0,292,47,14.514360704718161,6.0,4,9,4,40.0,1,15.662500000000001,2.9379314104012404,0.5306122448979592,0.0,0.0,0.0,0.75,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2024-10-18,2024-12-17,60,4,4,False,True,False,False,False,False,False,False,True,False,False
3461,36,35,0.6904109589041095,2.783505154639175,2,11.777777777777779,95.45740740740742,29.569428251246663,117.15416666666667,0.22729256794769812,0.9166666666666666,2,4,5,0.1111111111111111,34,7,23.910650005248065,1.0,15,52,4,116.0,6,9.173611111111112,0.6968998258601811,4.693877551020408,0.16666666666666666,0.027777777777777776,0.08333333333333333,0.5277777777777778,0.3611111111111111,1,0.027777777777777776,6,0.16666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,2024-09-08,2025-09-01,358,18,4,False,False,True,False,False,False,False,False,True,False,False
4016,61,60,1.252199413489736,5.027472527472527,2,18.617283950617285,83.15081967213115,13.631575776937224,88.99074074074075,0.07023287433168753,0.9836065573770492,11,18,39,0.29508196721311475,40,25,14.171998996456205,1.0,26,48,6,103.0,3,12.221584699453553,2.043097456193316,22.77551020408163,0.08196721311475409,0.32786885245901637,0.29508196721311475,0.03278688524590164,0.3442622950819672,1,0.01639344262295082,5,0.08196721311475409,0,0.0,2,0.03278688524590164,0,0.0,0,0.0,2024-09-26,2025-08-26,334,2,18,False,False,True,False,False,False,False,True,False,False,False
4525,94,93,1.8328690807799444,7.382198952879581,2,33.805555555555564,172.93670212765957,31.54443005122181,165.02719298245614,-0.045736440257573174,0.9893617021276596,3,19,44,0.20212765957446807,38,9,6.735956258582711,1.0,31,51,6,38.0,8,11.641134751773047,2.3591250608570857,17.673469387755098,0.22340425531914893,0.26595744680851063,0.20212765957446807,0.30851063829787234,0.22340425531914893,5,0.05319148936170213,21,0.22340425531914893,1,0.010638297872340425,3,0.031914893617021274,0,0.0,0,0.0,2024-09-10,2025-08-28,352,29,19,False,False,False,False,False,False,True,False,True,False,False
5374,4,4,0.11814345991561183,0.46153846153846145,1,0.2222222222222222,32.670833333333334,5.692799728604546,27.975,-0.14373166687922456,0.0,2,2,2,0.5,102,67,78.32553152637325,13.0,4,33,4,187.0,1,12.85,3.2079112276440016,0.5306122448979591,0.0,0.25,0.25,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2024-11-07,2025-06-25,230,2,2,False,False,False,False,True,False,False,False,True,False,False
5753,2,2,0.04472843450479233,0.17857142857142858,1,0.0,76.7,2.433333333333337,74.26666666666667,-0.03172533681008262,1.0,1,1,1,0.5,61,32,0.0,306.0,2,44,2,306.0,1,13.591666666666665,3.175,0.20408163265306126,0.0,0.0,0.5,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2024-10-03,2025-08-05,306,1,1,False,False,False,True,False,False,False,False,False,False,True
5754,18,18,0.3673469387755102,1.4754098360655739,1,0.4444444444444444,70.59814814814814,20.416922816903273,64.88333333333333,-0.08094850877423079,0.7777777777777778,2,4,8,0.2222222222222222,45,18,18.222576210213095,7.0,17,49,16,64.0,1,12.150925925925927,2.343650946695162,10.244897959183675,0.0,0.2222222222222222,0.2222222222222222,0.2777777777777778,0.2777777777777778,2,0.1111111111111111,0,0.0,0,0.0,2,0.1111111111111111,0,0.0,0,0.0,2024-09-19,2025-08-21,336,5,4,False,True,False,False,False,False,False,False,True,False,False
5818,3,3,0.5675675675675675,1.5,1,0.25,235.37222222222223,33.54688629734382,235.37222222222223,0.0,1.0,3,3,3,1.0,263,106,13.0,2.0,2,5,1,28.0,1,17.372222222222224,0.043744488188954725,0.5306122448979591,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2024-12-16,2025-01-15,30,3,3,False,False,False,False,True,False,False,True,False,False,False
