IdPersona,Edad,FechaInscripcion,TipoAbonoActual,Sexo_Mujer,FAntiguedad,NumAltasAntesDelPeriodo,TuvoAltasPrevias,MesesDesdeUltimaAltaPrevia,MesesDuracionAbonoActual,NumAltasEnPeriodo,MesesDesdePrimeraAltaEnPeriodo,Abandono,FechaFin,VidaGymMeses,NumBajasEnPeriodo,FechaUltimaBajaEnPeriodo,MesesDesdeUltimaBaja,Importe_total_pagado_servicios,Cantidad_total_pagado_servicios,TipoServicio_ENTRENAMENTS PERSONALS,TipoServicio_FISIOTERÀPIA,TipoServicio_NUTRICIÓ,UsoServiciosExtra,ratio_importe_2025_2024,ratio_cantidad_2025_2024,Uso_entrenamientos_personales,Uso_fisioterapia,Uso_nutricion,Diversidad_servicios_extra,NumPagosEconomia,MediaIntervaloMeses,StdIntervaloMeses,UltimoPagoMesEconomia,PrimerPagoMesEconomia,MesesConPagoEconomia,PorcentajeMesesPagados,TotalPagadoEconomia,media_pagoEconomia,StdPagoEconomia,CoefVarPagoEconomia,PctPagoMetalico,PctPagoRecibo,PctPagoTarjeta,PctPagoTransferencia,NumAbonosDistintos,AbonoMasFrecuente,TienePagos,TotalVisitas,DiasActivo,TiempoActivoDias,VisitasUlt30,VisitasUlt90,VisitasUlt180,PropUlt90,DiasDesdeUltima,tasa_caida_visitas,DuracionMediaTotal,DuracionMediaUlt90,DeltaDuracionUlt90VsTotal,StdDiasEntreVisitas,FrecuenciaModal,MaxRachaSinVisita,MaxRachaConVisita,SemanasConVisitaRatio,HoraMediaAcceso,PropVisitasFinDeSemana,PropVisitasFestivo,VisitasPrimerTrimestre,VisitasUltimoTrimestre,DiaFav_domingo,DiaFav_jueves,DiaFav_lunes,DiaFav_martes,DiaFav_miercoles,DiaFav_sabado,DiaFav_viernes,EstFav_invierno,EstFav_otono,EstFav_primavera,EstFav_verano,TieneAccesos,Prob_Abandono,Nivel_Riesgo
26207,72,2018-02-01,AG00,False,2002-03-22,1.0,True,80.0,92.0,0.0,-1.0,False,2025-09-01,92.3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False,False,0,12.0,1.0151515151515151,0.0311399577664609,9.0,10.0,12.0,0.9230769230769232,412.83,34.4025,0.6105604727699719,0.0177475611589265,0.0,1.0,0.0,0.0,1.0,AG00 - GENT GRAN (MES DE 65 ANYS),True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.00940414331547649,Muy Bajo
94497,37,2022-10-01,FA00,False,2022-08-30,1.0,True,23.0,35.0,0.0,-1.0,False,2025-09-01,35.53333333333333,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False,False,0,12.0,1.0151515151515151,0.0311399577664609,9.0,10.0,12.0,0.9230769230769232,1444.05,120.3375,2.1030416284299034,0.0174761951048501,0.0,1.0,0.0,0.0,1.0,FAMILIAR (PARES MES ELS MENORS DE 18 ANYS),True,23.0,22.0,312.0,4.0,13.0,18.0,0.5652173913043478,76.0,6.5,89.79927536231884,109.14230769230768,0.2154029890769639,16.614988752318474,2.0,79.0,1.0,0.4,15.397101449275365,0.1304347826086956,0.0,2.0,13.0,False,False,False,True,False,False,False,False,False,True,False,True,0.011630660349904882,Muy Bajo
116958,36,2025-09-01,AF00,False,2025-06-28,0.0,False,-1.0,0.0,1.0,2.0,False,2025-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False,False,0,1.0,0.0,0.0,9.0,9.0,1.0,0.0769230769230769,34.15,34.15,0.0,0.0,0.0,1.0,0.0,0.0,1.0,AF00 - ADULTS C.S. (DIVENDRES TARDA MES CAP DE SETMANA),True,5.0,5.0,9.0,5.0,5.0,5.0,1.0,65.0,1.0,96.38,96.38,0.0,1.299038105676658,1.0,4.0,3.0,1.0,12.136666666666668,0.2,0.2,5.0,5.0,False,False,False,False,True,False,False,False,False,False,True,True,0.99892458343589,Muy Alto
91200,66,2025-08-01,QM01,True,2011-04-29,1.0,True,74.0,1.0,1.0,10.0,False,2025-09-01,1.0333333333333334,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False,False,0,8.0,1.0095238095238095,0.0370899093509458,7.0,12.0,8.0,0.6153846153846154,307.3,38.4125,0.5303300858899106,0.0138061851191646,1.0,0.0,0.0,0.0,1.0,AG00 - GENT GRAN (MES DE 65 ANYS),True,78.0,78.0,265.0,10.0,35.0,49.0,0.4487179487179487,81.0,1.1290322580645162,91.54337606837606,89.72714285714285,-0.0198401379677828,5.31230746081897,1.0,36.0,5.0,0.7368421052631579,16.688461538461535,0.0256410256410256,0.0128205128205128,31.0,35.0,False,True,False,False,False,False,False,True,False,False,False,True,0.7886197630755336,Alto
109640,70,2023-02-08,AG00,False,2023-02-08,1.0,True,19.0,31.0,0.0,-1.0,False,2025-09-01,31.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False,False,0,12.0,1.0151515151515151,0.0311399577664609,9.0,10.0,12.0,0.9230769230769232,458.7000000000001,38.22500000000001,0.6784005252999681,0.0177475611589265,0.0,1.0,0.0,0.0,1.0,AG00 - GENT GRAN (MES DE 65 ANYS),True,86.0,84.0,340.0,21.0,46.0,69.0,0.5348837209302325,48.0,2.8125,75.80523255813954,77.89963768115942,0.0276287672017041,10.915719911048956,1.0,95.0,7.0,0.5510204081632653,11.04127906976744,0.2325581395348837,0.0348837209302325,16.0,45.0,False,False,True,False,False,False,False,False,False,False,True,True,0.002324278293207261,Muy Bajo
13797,66,2024-01-01,AG00,False,1985-02-01,1.0,True,8.0,20.0,0.0,-1.0,False,2025-09-01,20.3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False,False,0,12.0,1.0151515151515151,0.0311399577664609,9.0,10.0,12.0,0.9230769230769232,353.19000000000005,29.432500000000005,0.5201070693966416,0.0176711821760516,0.0,1.0,0.0,0.0,1.0,AG00 - GENT GRAN (MES DE 65 ANYS),True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0.027413234516614995,Muy Bajo
95847,69,2025-09-01,AR00,True,2013-06-05,1.0,True,73.0,0.0,0.0,-1.0,False,2025-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False,False,0,12.0,1.0151515151515151,0.0311399577664609,9.0,10.0,12.0,0.9230769230769232,343.25000000000006,28.60416666666667,9.056802022722364,0.3166252710055888,0.0,1.0,0.0,0.0,2.0,AR00 - TARJA ROSA (TARJETA GRATUÏTA),True,30.0,30.0,253.0,5.0,15.0,27.0,0.5,124.0,4.666666666666667,132.66666666666663,141.43888888888887,0.0661222780569515,17.926856277132785,1.0,98.0,3.0,0.4324324324324324,9.685555555555556,0.0333333333333333,0.0666666666666666,3.0,14.0,False,False,False,True,False,False,False,False,False,True,False,True,0.9821953477577138,Muy Alto
99718,82,2021-09-01,AG00,False,2016-07-04,1.0,True,36.0,48.0,0.0,-1.0,False,2025-09-01,48.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False,False,0,12.0,1.0151515151515151,0.0311399577664609,9.0,10.0,12.0,0.9230769230769232,458.7000000000001,38.22500000000001,0.6784005252999681,0.0177475611589265,0.0,1.0,0.0,0.0,1.0,AG00 - GENT GRAN (MES DE 65 ANYS),True,115.0,115.0,336.0,4.0,24.0,56.0,0.208695652173913,48.0,0.6857142857142857,79.0263768115942,82.02013888888888,0.0378830739568393,2.179820148959493,2.0,21.0,2.0,0.9387755102040816,7.29855072463768,0.0,0.008695652173913,35.0,24.0,False,False,True,False,False,False,False,True,False,False,False,True,0.0022412047634835044,Muy Bajo
113074,51,2024-01-15,AA00,False,2024-01-15,1.0,True,7.0,19.0,0.0,-1.0,False,2025-09-01,19.83333333333333,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False,False,0,12.0,1.0151515151515151,0.0311399577664609,9.0,10.0,12.0,0.9230769230769232,712.5000000000001,59.37500000000001,1.0402141387932866,0.0175193960217816,0.0,1.0,0.0,0.0,1.0,AA00 - ADULTS ( 26 A 64 ANYS ),True,43.0,43.0,341.0,8.0,18.0,25.0,0.4186046511627907,51.0,1.8,94.15736434108528,106.6888888888889,0.1330912843142906,12.843754051701143,1.0,63.0,3.0,0.4489795918367347,15.113178294573643,0.1860465116279069,0.0,10.0,18.0,False,False,False,False,False,False,True,False,False,False,True,True,0.0010508212310788004,Muy Bajo
91638,66,2024-09-17,AG00,True,2024-09-17,0.0,False,-1.0,11.0,1.0,11.0,False,2025-09-01,11.633333333333333,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False,False,0,12.0,1.0151515151515151,0.0311399577664609,9.0,10.0,12.0,0.9230769230769232,439.4000000000001,36.616666666666674,5.494101520280775,0.1500437374678409,0.0,0.9155666818388712,0.0844333181611288,0.0,1.0,AG00 - GENT GRAN (MES DE 65 ANYS),True,108.0,108.0,348.0,19.0,32.0,63.0,0.2962962962962963,48.0,1.7777777777777777,139.64243827160493,154.86875,0.1090378535125536,4.518070587178511,1.0,37.0,7.0,0.78,17.416820987654322,0.0277777777777777,0.0277777777777777,18.0,32.0,False,False,False,False,True,False,False,False,False,False,True,True,0.0034895990991769864,Muy Bajo
